#  aims_uuid : D0BD19D4-B9AD-494D-A9EC-1813570430ED                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.86049932        0.00388277        0.05921875        0.78281849        0.01457931
       -9.98998999        1.24203689        0.00515792        0.06342371        1.15070450        0.02275076
       -9.97997998        0.79202497        0.00382646        0.05065640        0.72322095        0.01432117
       -9.96996997        0.35991825        0.00169707        0.02643358        0.32680397        0.00498363
       -9.95995996        0.94351985        0.00816068        0.07439624        0.84861369        0.01234923
       -9.94994995        0.70376558        0.00609486        0.05618584        0.63064236        0.01084252
       -9.93993994        0.34361932        0.00445837        0.05162808        0.28095130        0.00658157
       -9.92992993        0.42262313        0.00610308        0.07588282        0.33205088        0.00858635
       -9.91991992        0.50309859        0.00745782        0.09570018        0.38915458        0.01078602
       -9.90990991        0.26851714        0.00342569        0.02813825        0.23182705        0.00512614
       -9.89989990        0.87408721        0.00658633        0.04269046        0.80899348        0.01581693
       -9.88988989        0.84524137        0.01044368        0.08521954        0.73213820        0.01743995
       -9.87987988        0.36966400        0.00719878        0.06416494        0.28854065        0.00975964
       -9.86986987        0.38191470        0.00394982        0.03389666        0.33640968        0.00765854
       -9.85985986        0.34320260        0.00245895        0.01313835        0.32123354        0.00637177
       -9.84984985        0.33306497        0.00246833        0.01331670        0.31021712        0.00706282
       -9.83983984        0.30958537        0.00253733        0.01591197        0.28421343        0.00692264
       -9.82982983        0.28272269        0.00255620        0.01729541        0.25638010        0.00649097
       -9.81981982        0.25636334        0.00254211        0.01750031        0.23043765        0.00588327
       -9.80980981        0.26829657        0.00322778        0.02525810        0.23338735        0.00642335
       -9.79979980        0.48488747        0.00615828        0.06836492        0.39642714        0.01393712
       -9.78978979        0.56212281        0.00661275        0.07043795        0.47059260        0.01447950
       -9.77977978        0.95076295        0.01028941        0.09241735        0.82518448        0.02287172
       -9.76976977        0.90857739        0.00772777        0.07552008        0.80465311        0.02067644
       -9.75975976        1.19020791        0.01136146        0.14192488        1.00825691        0.02866466
       -9.74974975        0.49119341        0.00601713        0.06905477        0.40278999        0.01333153
       -9.73973974        0.47094667        0.00555063        0.06121033        0.39147262        0.01271309
       -9.72972973        0.50509491        0.00571936        0.05512993        0.43079450        0.01345113
       -9.71971972        0.55680973        0.00586772        0.04978291        0.48677214        0.01438697
       -9.70970971        0.62064097        0.00586816        0.04494701        0.55450341        0.01532240
       -9.69969970        0.60411070        0.00566749        0.04163987        0.53938030        0.01742305
       -9.68968969        0.43261312        0.00517548        0.03575856        0.38028144        0.01139765
       -9.67967968        0.45760709        0.00582348        0.04063975        0.39795331        0.01319055
       -9.66966967        0.80729084        0.00648456        0.05628571        0.71511627        0.02940430
       -9.65965966        0.45360813        0.00667860        0.04937570        0.38397265        0.01358119
       -9.64964965        0.56536244        0.00838878        0.06229321        0.47958616        0.01509429
       -9.63963964        0.70193780        0.00902196        0.07101731        0.60490854        0.01698999
       -9.62962963        0.94318252        0.00911187        0.08279030        0.82830609        0.02297426
       -9.61961962        0.67989281        0.00543653        0.05226524        0.60308191        0.01910913
       -9.60960961        0.47196888        0.00496829        0.04574701        0.41026698        0.01098660
       -9.59959960        0.62119164        0.00644604        0.06204911        0.53903821        0.01365828
       -9.58958959        0.95973253        0.00921441        0.08576612        0.84540598        0.01934602
       -9.57957958        1.07869203        0.00787205        0.07610705        0.97218631        0.02252661
       -9.56956957        0.76808352        0.00508730        0.05390777        0.69435530        0.01473316
       -9.55955956        0.65866215        0.00434291        0.04960723        0.59262921        0.01208281
       -9.54954955        0.72676130        0.00514502        0.05446121        0.65412669        0.01302838
       -9.53953954        0.61958239        0.00377409        0.03501994        0.57119202        0.00959634
       -9.52952953        0.71725883        0.00341110        0.03903219        0.66376395        0.01105160
       -9.51951952        0.76367838        0.00436723        0.04745331        0.69725479        0.01460305
       -9.50950951        0.72189932        0.00481920        0.04666574        0.65613438        0.01428000
       -9.49949950        1.09400852        0.00611445        0.06117651        1.00587553        0.02084203
       -9.48948949        0.33676698        0.00345011        0.02587599        0.30166638        0.00577451
       -9.47947948        0.31659346        0.00377698        0.03150549        0.27451955        0.00679142
       -9.46946947        0.78195464        0.00765713        0.05090620        0.70553217        0.01785915
       -9.45945946        0.87166675        0.00837122        0.05709615        0.78483051        0.02136887
       -9.44944945        0.76568662        0.00662288        0.04926761        0.69257509        0.01722104
       -9.43943944        0.46020822        0.00322058        0.02984960        0.41841678        0.00872126
       -9.42942943        0.10858174        0.00050281        0.00562723        0.10078085        0.00167086
       -9.41941942        0.29218586        0.00073720        0.00848967        0.27944124        0.00351775
       -9.40940941        0.44246492        0.00125839        0.01219542        0.42236562        0.00664550
       -9.39939940        0.48490431        0.00199938        0.01563296        0.45667364        0.01059832
       -9.38938939        0.56829462        0.00321891        0.02120375        0.53166912        0.01220284
       -9.37937938        0.56033661        0.00286069        0.01953848        0.52851526        0.00942218
       -9.36936937        0.70074346        0.00250770        0.02261497        0.66279454        0.01282624
       -9.35935936        0.24628826        0.00143548        0.01794771        0.22031120        0.00659387
       -9.34934935        0.08062610        0.00068990        0.00871579        0.06889545        0.00232497
       -9.33933934        0.09578035        0.00070519        0.01007357        0.08139299        0.00360860
       -9.32932933        0.22868235        0.00155086        0.01433447        0.20507057        0.00772645
       -9.31931932        0.56300503        0.00329319        0.02495157        0.51944681        0.01531346
       -9.30930931        0.67502090        0.00368426        0.03352302        0.62176409        0.01604953
       -9.29929930        0.58572899        0.00392652        0.03594697        0.53249794        0.01335755
       -9.28928929        0.47412721        0.00434299        0.03592119        0.42318858        0.01067446
       -9.27927928        0.55120212        0.00583842        0.04082172        0.49354684        0.01099515
       -9.26926927        0.93267513        0.00762059        0.07173352        0.82917366        0.02414736
       -9.25925926        0.56481224        0.00566355        0.05814799        0.48582890        0.01517179
       -9.24924925        0.31893777        0.00243892        0.02639767        0.28152857        0.00857262
       -9.23923924        0.61281082        0.00648067        0.04283793        0.54903582        0.01445641
       -9.22922923        0.81976822        0.01188261        0.06843843        0.71966550        0.01978167
       -9.21921922        1.01031834        0.01347386        0.09002614        0.88220317        0.02461518
       -9.20920921        0.73191398        0.00883568        0.05595997        0.65215247        0.01496587
       -9.19919920        0.87350906        0.01024247        0.08069576        0.76416382        0.01840701
