#  aims_uuid : 2267E2A8-C98B-4FA7-A740-1C2EE6C0793A                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.07315596        0.00240974        0.06753220        0.00288157        0.00033244
       -9.98998999        0.00961342        0.00038780        0.00876223        0.00039818        0.00006521
       -9.97997998        0.11294002        0.00519433        0.10298505        0.00419502        0.00056562
       -9.96996997        0.10338484        0.00507617        0.09389345        0.00386474        0.00055047
       -9.95995996        0.09436775        0.00494809        0.08533366        0.00355082        0.00053518
       -9.94994995        0.08588876        0.00481007        0.07730568        0.00325326        0.00051975
       -9.93993994        0.07794788        0.00466213        0.06980951        0.00297206        0.00050417
       -9.92992993        0.15877913        0.00543300        0.14756009        0.00490929        0.00087675
       -9.91991992        0.33218643        0.00710562        0.31478396        0.00855662        0.00174023
       -9.90990991        0.48415931        0.00846063        0.46224053        0.01083317        0.00262499
       -9.89989990        0.28118980        0.00788411        0.26517473        0.00644001        0.00169094
       -9.88988989        0.29024774        0.00886296        0.27366346        0.00583829        0.00188303
       -9.87987988        0.20075511        0.00693174        0.18753301        0.00497086        0.00131950
       -9.86986987        0.18845535        0.00692886        0.17557519        0.00466378        0.00128752
       -9.85985986        0.28826604        0.01019622        0.27068116        0.00527056        0.00211809
       -9.84984985        0.34351409        0.01514372        0.31869657        0.00690448        0.00276932
       -9.83983984        0.35233299        0.02183452        0.31768983        0.00958906        0.00321958
       -9.82982983        0.22651295        0.00840975        0.21233025        0.00425170        0.00152124
       -9.81981982        0.24751774        0.01000786        0.23092914        0.00488913        0.00169160
       -9.80980981        0.26471217        0.01160940        0.24562238        0.00563942        0.00184097
       -9.79979980        0.27809622        0.01321436        0.25640995        0.00650258        0.00196933
       -9.78978979        0.16290555        0.00768414        0.15016926        0.00392822        0.00112394
       -9.77977978        0.17416820        0.00864909        0.15974393        0.00454219        0.00123299
       -9.76976977        0.18290639        0.00959686        0.16678601        0.00519034        0.00133318
       -9.75975976        0.18912012        0.01052743        0.17129551        0.00587267        0.00142451
       -9.74974975        0.07527763        0.00417143        0.06807927        0.00240968        0.00061724
       -9.73973974        0.88214160        0.02551717        0.83266900        0.01976582        0.00418962
       -9.72972973        0.50175876        0.01284448        0.47517692        0.01158774        0.00214963
       -9.71971972        0.41877788        0.01130506        0.39541132        0.01026114        0.00180036
       -9.70970971        0.34026164        0.00985456        0.31999726        0.00893443        0.00147539
       -9.69969970        0.43649011        0.01012760        0.41362634        0.01113074        0.00160543
       -9.68968969        0.67202852        0.02770654        0.62005100        0.02010728        0.00416370
       -9.67967968        0.42994697        0.03734221        0.37323063        0.01635203        0.00302210
       -9.66966967        0.29926782        0.03170471        0.25253393        0.01274150        0.00228768
       -9.65965966        0.16035341        0.01415428        0.13752208        0.00735737        0.00131967
       -9.64964965        0.83198288        0.08018502        0.70925880        0.03798408        0.00455497
       -9.63963964        0.32724766        0.02078912        0.28943916        0.01487755        0.00214184
       -9.62962963        0.16575980        0.01262385        0.14354842        0.00838056        0.00120696
       -9.61961962        0.31100570        0.01467632        0.28210338        0.01205892        0.00216709
       -9.60960961        0.46616748        0.01749524        0.43181468        0.01386296        0.00299460
       -9.59959960        0.65971461        0.02189182        0.61771040        0.01612496        0.00398743
       -9.58958959        0.33244076        0.01654599        0.30321228        0.01045289        0.00222961
       -9.57957958        0.18461480        0.01290237        0.16195032        0.00829240        0.00146971
       -9.56956957        0.33461056        0.04171467        0.27627204        0.01426237        0.00236148
       -9.55955956        0.70740485        0.02373012        0.64507010        0.03460206        0.00400257
       -9.54954955        0.10453589        0.00446673        0.09659688        0.00283485        0.00063743
       -9.53953954        0.06820380        0.00284240        0.06314167        0.00181964        0.00040010
       -9.52952953        0.11811783        0.00458476        0.10942342        0.00333056        0.00077909
       -9.51951952        0.29242074        0.01887036        0.26322122        0.00868051        0.00164865
       -9.50950951        0.54515150        0.04712635        0.47766189        0.01789444        0.00246882
       -9.49949950        0.62107797        0.05229160        0.54262847        0.02353420        0.00262370
       -9.48948949        0.34956021        0.02314581        0.30857022        0.01422911        0.00361508
       -9.47947948        0.39019980        0.02075726        0.35383959        0.01343452        0.00216843
       -9.46946947        0.56866386        0.03376803        0.51157173        0.02025199        0.00307211
       -9.45945946        0.62066622        0.02339378        0.57694548        0.01736834        0.00295862
       -9.44944945        0.62606068        0.03333429        0.56845489        0.02128305        0.00298845
       -9.43943944        1.12874342        0.07118726        1.00129615        0.04742272        0.00883729
       -9.42942943        0.68630857        0.04750897        0.60608115        0.02905018        0.00366826
       -9.41941942        0.46767569        0.02928581        0.41682665        0.01887810        0.00268513
       -9.40940941        0.22615640        0.01357489        0.20090182        0.01001258        0.00166710
       -9.39939940        0.14965461        0.00722183        0.13288681        0.00783900        0.00170698
       -9.38938939        0.76431083        0.02932433        0.70413768        0.02512335        0.00572547
       -9.37937938        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.36936937        0.72020976        0.03254139        0.63956879        0.04384874        0.00425083
       -9.35935936        0.45222391        0.01028220        0.42427952        0.01548083        0.00218136
       -9.34934935        0.21724337        0.00755884        0.19871007        0.00978163        0.00119283
       -9.33933934        0.21971337        0.00658570        0.19817258        0.01342324        0.00153185
       -9.32932933        0.21789371        0.00287626        0.20219674        0.01120217        0.00161855
       -9.31931932        0.04918847        0.00071076        0.04615849        0.00213093        0.00018829
       -9.30930931        0.27089855        0.00478278        0.24807620        0.01636241        0.00167716
       -9.29929930        0.21674115        0.00704664        0.18726306        0.02021197        0.00221949
