#  aims_uuid : 272D6731-19F7-437B-A945-DD839368E94B                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.91761625        0.06312820        0.79120387        0.05523048        0.00760675        0.00044695
       -9.98998999        1.08808970        0.09158244        0.93134248        0.05681745        0.00805268        0.00029465
       -9.97997998        0.60724991        0.05599964        0.51614831        0.03123831        0.00381564        0.00004801
       -9.96996997        1.77633086        0.17261871        1.50128756        0.09033681        0.01167055        0.00041723
       -9.95995996        0.93456321        0.12426933        0.76472864        0.03772460        0.00720546        0.00063518
       -9.94994995        0.61877931        0.05809826        0.51771974        0.03719687        0.00529000        0.00047443
       -9.93993994        0.82502009        0.09243005        0.69093876        0.03516946        0.00588742        0.00059439
       -9.92992993        2.16419917        0.15781046        1.91144694        0.08415164        0.00985545        0.00093469
       -9.91991992        0.74573571        0.05805272        0.64609561        0.03730944        0.00372382        0.00055413
       -9.90990991        3.03260979        0.20351491        2.62723740        0.18329328        0.01603217        0.00253203
       -9.89989990        0.93341699        0.08102119        0.79882536        0.04702280        0.00617039        0.00037724
       -9.88988989        1.76983663        0.15031634        1.53720133        0.07155489        0.00954040        0.00122367
       -9.87987988        1.62480271        0.12017464        1.39220159        0.10203043        0.00938672        0.00100933
       -9.86986987        0.53882182        0.02441108        0.49029073        0.02198865        0.00182192        0.00030943
       -9.85985986        0.85241692        0.05411147        0.72980982        0.06155287        0.00627129        0.00067147
       -9.84984985        1.61234811        0.09202869        1.38239041        0.12432170        0.01215380        0.00145350
       -9.83983984        1.17854675        0.05423427        1.04679147        0.06958800        0.00699789        0.00093512
       -9.82982983        1.67657189        0.06569444        1.45589387        0.13796128        0.01514735        0.00187496
       -9.81981982        1.23346467        0.05586489        1.08191123        0.08542998        0.00853642        0.00172214
       -9.80980981        1.20572222        0.06840477        1.04375625        0.08281591        0.00913836        0.00160692
       -9.79979980        1.35784040        0.06317291        1.23315195        0.05409476        0.00598017        0.00144062
       -9.78978979        1.39840439        0.03873832        1.24851175        0.10055546        0.00928567        0.00131318
       -9.77977978        0.94296483        0.07651039        0.80631917        0.05084947        0.00769506        0.00159074
       -9.76976977        1.04110673        0.07086032        0.88543402        0.07175265        0.01162901        0.00143074
       -9.75975976        1.08626161        0.06146007        0.94757904        0.06908962        0.00717505        0.00095783
       -9.74974975        0.71720611        0.04668274        0.62255123        0.04032493        0.00692681        0.00072041
       -9.73973974        1.08042243        0.06391781        0.92207492        0.08210577        0.01093139        0.00139255
       -9.72972973        0.65016994        0.04703294        0.53213281        0.06277170        0.00725567        0.00097682
       -9.71971972        0.78670489        0.03198073        0.66170936        0.08153168        0.00981697        0.00166616
       -9.70970971        0.54536698        0.02173148        0.45729059        0.06003518        0.00553688        0.00077285
       -9.69969970        0.51684807        0.02739429        0.44912109        0.03559167        0.00411207        0.00062896
       -9.68968969        1.07210008        0.06732639        0.93879635        0.05603966        0.00862909        0.00130859
       -9.67967968        1.67301833        0.16184579        1.42650653        0.06780323        0.01492439        0.00193840
       -9.66966967        1.09773862        0.10552463        0.93994910        0.04166629        0.00906444        0.00153415
       -9.65965966        0.63403261        0.05483548        0.54830438        0.02560080        0.00422558        0.00106638
       -9.64964965        0.81755453        0.06586024        0.70923215        0.03464838        0.00646738        0.00134638
       -9.63963964        0.66650687        0.05466921        0.58901932        0.01822588        0.00355843        0.00103403
       -9.62962963        0.17510438        0.00527125        0.16002078        0.00872297        0.00083612        0.00025326
       -9.61961962        0.17226927        0.00728156        0.14190505        0.01905677        0.00354184        0.00048406
       -9.60960961        0.24496507        0.02327083        0.18890008        0.02671185        0.00535090        0.00073141
       -9.59959960        0.46238749        0.03384337        0.39239432        0.02939690        0.00594283        0.00081007
       -9.58958959        0.30295176        0.01636443        0.26207381        0.01996032        0.00407481        0.00047839
       -9.57957958        0.56250629        0.00861830        0.50859358        0.03992302        0.00465313        0.00071826
       -9.56956957        0.57210205        0.00348889        0.53534518        0.02965997        0.00292965        0.00067835
       -9.55955956        0.56838562        0.00293906        0.53755598        0.02455941        0.00258471        0.00074647
       -9.54954955        1.12937481        0.09408536        0.98977582        0.03958804        0.00474977        0.00117582
       -9.53953954        0.63658226        0.04769896        0.55204990        0.03295913        0.00316432        0.00070994
       -9.52952953        0.90012318        0.05770088        0.78712494        0.05022832        0.00418047        0.00088858
       -9.51951952        0.53899696        0.04218244        0.48263444        0.01273458        0.00115467        0.00029082
       -9.50950951        0.68353908        0.04066411        0.61727360        0.02237328        0.00254974        0.00067834
       -9.49949950        0.94125423        0.04375104        0.85538095        0.03683560        0.00429174        0.00099491
       -9.48948949        0.84401059        0.04136831        0.75691996        0.03944108        0.00524832        0.00103291
       -9.47947948        0.56187748        0.03628602        0.47989587        0.03736796        0.00713242        0.00119520
       -9.46946947        0.41880491        0.03497839        0.35269527        0.02651173        0.00344245        0.00117706
       -9.45945946        0.23182396        0.01492187        0.20123704        0.01370419        0.00140040        0.00056046
       -9.44944945        0.95561894        0.05339918        0.84004949        0.05513491        0.00603634        0.00099903
       -9.43943944        0.64656835        0.02754618        0.57202247        0.04170844        0.00454798        0.00074328
       -9.42942943        0.27665661        0.00368581        0.24990456        0.02031912        0.00245381        0.00029331
       -9.41941942        0.16341279        0.00578986        0.14912992        0.00716416        0.00115087        0.00017797
       -9.40940941        0.30049609        0.01238252        0.27505565        0.01106994        0.00166254        0.00032543
       -9.39939940        0.41537693        0.01363787        0.38276205        0.01619897        0.00233743        0.00044060
       -9.38938939        0.52604706        0.01568850        0.48313306        0.02364173        0.00292737        0.00065640
       -9.37937938        0.79180586        0.02954090        0.71703595        0.03946320        0.00455633        0.00120948
       -9.36936937        0.64744460        0.02621931        0.58288362        0.03384414        0.00338577        0.00111176
       -9.35935936        0.11197653        0.00336100        0.09910528        0.00871512        0.00067041        0.00012471
       -9.34934935        0.17868361        0.00474890        0.16014714        0.01260591        0.00099099        0.00019067
       -9.33933934        0.24588609        0.00550620        0.22250352        0.01635215        0.00126117        0.00026305
       -9.32932933        0.33229934        0.00748697        0.30104807        0.02169906        0.00169748        0.00036776
       -9.31931932        0.42505679        0.00869975        0.38685838        0.02693041        0.00207712        0.00049113
       -9.30930931        0.54620147        0.00980743        0.50079504        0.03258051        0.00236990        0.00064859
       -9.29929930        1.22424395        0.01564772        1.14003836        0.06350008        0.00371935        0.00133843
       -9.28928929        0.95307551        0.01526690        0.88481655        0.04856396        0.00316917        0.00125892
       -9.27927928        0.56210485        0.01385301        0.51441828        0.03014380        0.00258204        0.00110772
       -9.26926927        0.51968806        0.01329596        0.47479341        0.02797165        0.00254674        0.00108029
       -9.25925926        0.47220310        0.01464306        0.42952604        0.02490275        0.00216173        0.00096951
       -9.24924925        1.46525825        0.05610257        1.33533604        0.06066811        0.00888602        0.00426551
       -9.23923924        1.00110673        0.04714925        0.90149924        0.04528725        0.00523574        0.00193525
       -9.22922923        1.06655897        0.04874200        0.97382240        0.03763589        0.00457392        0.00178476
       -9.21921922        1.46912799        0.04590994        1.35265304        0.06090020        0.00735057        0.00231424
       -9.20920921        1.59288487        0.02596313        1.47429017        0.07962131        0.01027051        0.00273975
       -9.19919920        0.78118484        0.01124010        0.71711480        0.04539193        0.00599950        0.00143850
       -9.18918919        1.29705936        0.04074833        1.19532349        0.05065272        0.00865043        0.00168439
       -9.17917918        1.20386595        0.03457487        1.11319575        0.04556556        0.00886592        0.00166385
       -9.16916917        1.10302010        0.02169649        1.03515871        0.03800860        0.00671349        0.00144281
       -9.15915916        2.08717504        0.04214212        1.98014908        0.05281190        0.00940317        0.00266876
       -9.14914915        2.35419715        0.04639299        2.25069225        0.04771534        0.00748755        0.00190902
       -9.13913914        1.66004640        0.03162568        1.55489324        0.06014403        0.01095482        0.00242863
       -9.12912913        1.12902152        0.01744456        1.04293712        0.05869801        0.00819951        0.00174232
       -9.11911912        1.16240283        0.00983199        1.10953581        0.03739924        0.00450553        0.00113025
       -9.10910911        1.78781612        0.02363360        1.68493196        0.06796015        0.00896557        0.00232485
       -9.09909910        1.86346300        0.03605002        1.75608475        0.05966815        0.00895803        0.00270205
       -9.08908909        1.16489997        0.01783608        1.09611183        0.04184102        0.00715186        0.00195918
       -9.07907908        0.81707875        0.01250934        0.76734972        0.02980076        0.00594363        0.00147530
       -9.06906907        0.83971537        0.01504696        0.78802823        0.02917230        0.00592060        0.00154728
       -9.05905906        0.79120274        0.02137708        0.73166770        0.03124440        0.00550181        0.00141174
       -9.04904905        1.42093989        0.03016946        1.34013153        0.04189223        0.00661269        0.00213398
       -9.03903904        1.78979456        0.02752462        1.69203408        0.05895781        0.00859804        0.00268001
       -9.02902903        1.15821169        0.01973406        1.08454871        0.04528174        0.00669949        0.00194768
       -9.01901902        0.82271636        0.01687087        0.76367170        0.03485822        0.00576087        0.00155470
       -9.00900901        1.42984211        0.02727448        1.35022720        0.04191603        0.00810336        0.00232104
       -8.99899900        1.12579753        0.01912019        1.07059704        0.02678625        0.00745350        0.00184055
       -8.98898899        1.42842693        0.01541265        1.35812877        0.04053234        0.01195770        0.00239547
       -8.97897898        1.16090843        0.00931434        1.10065502        0.04213154        0.00695575        0.00185178
       -8.96896897        0.56091034        0.00803356        0.51731381        0.02988004        0.00447023        0.00121269
       -8.95895896        0.85644167        0.01490692        0.79584897        0.03729555        0.00675589        0.00163434
       -8.94894895        0.37872604        0.00584371        0.35404049        0.01552209        0.00278418        0.00053557
       -8.93893894        0.55734160        0.01200060        0.47573532        0.05621279        0.01156275        0.00183014
       -8.92892893        0.49256323        0.00887602        0.44438102        0.03216634        0.00602128        0.00111857
       -8.91891892        0.72122214        0.01178156        0.65101733        0.04677670        0.00991779        0.00172877
       -8.90890891        0.94414437        0.00976949        0.86103981        0.05703057        0.01403235        0.00227215
       -8.89889890        0.52467997        0.00605807        0.47529483        0.03439010        0.00766280        0.00127417
       -8.88888889        0.90281138        0.00893965        0.82971818        0.05097850        0.01142947        0.00174559
       -8.87887888        0.93024276        0.00975891        0.86312166        0.04824839        0.00781267        0.00130112
       -8.86886887        0.47801488        0.00604598        0.42188880        0.04422501        0.00499718        0.00085790
       -8.85885886        0.71547145        0.00481106        0.65404928        0.04884002        0.00669092        0.00108017
       -8.84884885        0.82115152        0.00528314        0.75377735        0.05364242        0.00734073        0.00110787
       -8.83883884        0.36225170        0.00301677        0.33387914        0.02204380        0.00286988        0.00044212
       -8.82882883        0.69906210        0.00492837        0.64913966        0.03940822        0.00486755        0.00071829
       -8.81881882        0.49898778        0.00405246        0.47043845        0.02079815        0.00313607        0.00056265
       -8.80880881        0.49714865        0.00538461        0.45814416        0.02931065        0.00370588        0.00060335
       -8.79879880        0.60669920        0.00689146        0.54636033        0.04752860        0.00508488        0.00083393
       -8.78878879        0.70390575        0.00797735        0.62921319        0.05957995        0.00601633        0.00111893
       -8.77877878        0.74453539        0.00638674        0.65946510        0.07035023        0.00678748        0.00154584
       -8.76876877        0.87297244        0.01001472        0.77301070        0.08030877        0.00850198        0.00113627
       -8.75875876        0.96968633        0.01354564        0.86404607        0.08145952        0.00960846        0.00102663
       -8.74874875        0.69145179        0.00521100        0.62854646        0.05045012        0.00649755        0.00074666
       -8.73873874        0.55868317        0.00073137        0.53090465        0.02305751        0.00364468        0.00034496
       -8.72872873        0.55827508        0.00112126        0.52999927        0.02334342        0.00348685        0.00032427
       -8.71871872        0.50105903        0.00157530        0.47568257        0.02051489        0.00301280        0.00027347
       -8.70870871        0.53348642        0.00344356        0.50080066        0.02528200        0.00362707        0.00033312
       -8.69869870        0.76649730        0.00642519        0.71225749        0.04079657        0.00641798        0.00060007
       -8.68868869        1.02411344        0.01626836        0.92015481        0.07413829        0.01219016        0.00136183
       -8.67867868        1.00984511        0.02511359        0.90129925        0.06877320        0.01296126        0.00169782
       -8.66866867        0.63981301        0.01404070        0.57715181        0.04132148        0.00635124        0.00094778
       -8.65865866        0.54807566        0.00987594        0.49572862        0.03639140        0.00530422        0.00077548
       -8.64864865        0.70523786        0.01292812        0.63707551        0.04798990        0.00631482        0.00092953
       -8.63863864        0.76390890        0.01346587        0.68900093        0.05275579        0.00753480        0.00115151
       -8.62862863        0.80886937        0.01189604        0.73346190        0.05325077        0.00881469        0.00144598
       -8.61861862        1.22165774        0.01275912        1.12631764        0.07098929        0.01047902        0.00111267
       -8.60860861        0.88944237        0.00980839        0.81295334        0.05798067        0.00776570        0.00093427
       -8.59859860        0.60062104        0.00742250        0.54506037        0.04166971        0.00565401        0.00081446
       -8.58858859        0.61914326        0.00849131        0.55962548        0.04338941        0.00645532        0.00118174
       -8.57857858        0.36497596        0.00373022        0.32978418        0.02549006        0.00527633        0.00069517
       -8.56856857        0.60549999        0.00489781        0.55846315        0.03357933        0.00771419        0.00084551
       -8.55855856        1.03600713        0.00571000        0.96353228        0.05427903        0.01138466        0.00110116
       -8.54854855        1.24104258        0.00519026        1.15816948        0.06565004        0.01074513        0.00128767
       -8.53853854        0.69215430        0.00406395        0.64524886        0.03536437        0.00670449        0.00077264
       -8.52852853        0.76590763        0.00478542        0.71102134        0.04105705        0.00813737        0.00090645
       -8.51851852        1.05960288        0.00752539        0.97735932        0.06116256        0.01226933        0.00128629
       -8.50850851        1.07499584        0.00741572        0.98522096        0.06838716        0.01266011        0.00131189
       -8.49849850        0.94644045        0.00843288        0.86780283        0.05938653        0.00976215        0.00105606
       -8.48848849        1.56307909        0.01751690        1.44713958        0.08552198        0.01153758        0.00136305
       -8.47847848        0.26043895        0.00424488        0.24158084        0.01262196        0.00181053        0.00018074
       -8.46846847        0.38551403        0.00492519        0.35142068        0.02376950        0.00488375        0.00051492
       -8.45845846        1.11413089        0.01613232        1.02354406        0.06177256        0.01117137        0.00151057
       -8.44844845        2.29139507        0.03277353        2.11678926        0.11771779        0.02099989        0.00311459
