#  aims_uuid : 439A7EBB-E08A-4363-AC55-6415E62870CA                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.982406 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.01759428        1.12254396        0.00620718        0.04818766        1.05088344        0.01726568
       -5.00758427        1.23257381        0.01512608        0.04837987        1.15210422        0.01696365
       -4.99757426        0.81329107        0.01465507        0.02668918        0.76101120        0.01093561
       -4.98756425        0.26321031        0.01242598        0.01644072        0.23099408        0.00334953
       -4.97755424        0.16047199        0.00807212        0.01690434        0.13289193        0.00260360
       -4.96754423        0.14246483        0.00614464        0.01915941        0.11436334        0.00279744
       -4.95753422        0.38226624        0.01745670        0.05048593        0.30641768        0.00790593
       -4.94752421        0.38147178        0.02107656        0.06132862        0.29259125        0.00647535
       -4.93751420        0.36133515        0.02231054        0.06519116        0.26861984        0.00521361
       -4.92750419        0.35357713        0.02352744        0.06530881        0.26019044        0.00455044
       -4.91749418        0.40660726        0.01769234        0.11014751        0.27216034        0.00660707
       -4.90748417        0.29379900        0.01682834        0.02905447        0.24342530        0.00449090
       -4.89747416        0.39322857        0.01831029        0.03883030        0.32962795        0.00646002
       -4.88746415        0.72756354        0.02399295        0.11769861        0.56886849        0.01700350
       -4.87745414        1.00795381        0.01047211        0.09972855        0.87177014        0.02598302
       -4.86744413        0.27116902        0.00386716        0.02398272        0.23805818        0.00526096
       -4.85743412        0.25056571        0.00186475        0.01527114        0.22976342        0.00366639
       -4.84742411        0.19202880        0.00015366        0.00491250        0.18375611        0.00320654
       -4.83741410        0.31791394        0.00022641        0.00809587        0.30381899        0.00577267
       -4.82740409        0.46403791        0.00029691        0.01177057        0.44298544        0.00898499
       -4.81739408        0.16347328        0.00038646        0.00523365        0.15500860        0.00284456
       -4.80738407        0.79181649        0.00348514        0.06102114        0.71356026        0.01374995
       -4.79737406        0.49036986        0.00335254        0.04614397        0.43242447        0.00844888
       -4.78736405        0.44621585        0.00334427        0.03595768        0.39933442        0.00757949
       -4.77735404        0.45761471        0.00417484        0.03178008        0.41416476        0.00749503
       -4.76734403        0.54361162        0.00573079        0.03213754        0.49607635        0.00966694
       -4.75733402        0.64831562        0.00664571        0.03492183        0.59415206        0.01259603
       -4.74732401        0.76987514        0.00683411        0.04062200        0.70695666        0.01546237
       -4.73731400        0.65239414        0.00721517        0.03371836        0.60025298        0.01120762
       -4.72730399        0.84897511        0.00872191        0.04330349        0.77645864        0.02049107
       -4.71729398        0.29095146        0.00221946        0.01823241        0.26295783        0.00754177
       -4.70728397        0.30775971        0.00284510        0.01921265        0.27816599        0.00753597
       -4.69727396        0.32484121        0.00344428        0.02032574        0.29355048        0.00752071
       -4.68726395       24.02802998        0.00933749        1.82497208       21.50283698        0.69088343
       -4.67725394        0.59491918        0.00662407        0.03705596        0.53560229        0.01563685
