#  aims_uuid : 581738C0-FC9E-485D-A86B-94FC3D003F6D                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.822886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.17711435        0.08809585        0.00874419        0.07304761        0.00568808        0.00057809        0.00003789
       -4.16710434        0.16535913        0.01703629        0.13762318        0.00958755        0.00103351        0.00007862
       -4.15709433        0.48791054        0.03880470        0.42217159        0.02392910        0.00269843        0.00030672
       -4.14708432        1.59958785        0.15154318        1.36617475        0.07256875        0.00836955        0.00093163
       -4.13707431        1.57457176        0.15227676        1.33273375        0.08004951        0.00846986        0.00104188
       -4.12706430        2.93656801        0.34851284        2.45346550        0.11879267        0.01397475        0.00182225
       -4.11705429        1.85769075        0.17845645        1.56112212        0.10573070        0.01144077        0.00094070
       -4.10704428        4.23360956        0.35163129        3.64800902        0.21023484        0.02040504        0.00332938
       -4.09703427        1.85669968        0.14777441        1.59487105        0.10227236        0.01066136        0.00112050
       -4.08702426        3.16399195        0.22890233        2.75410434        0.16152921        0.01757642        0.00187965
       -4.07701425        2.05712221        0.17284123        1.76871516        0.10054864        0.01347723        0.00153995
       -4.06700424        2.40052814        0.21333628        2.04505155        0.12362534        0.01626048        0.00225450
       -4.05699423        1.72680620        0.11739251        1.50945200        0.08806056        0.00998450        0.00191664
       -4.04698422        2.86812135        0.24371855        2.43202010        0.16904019        0.02064965        0.00269286
       -4.03697421        1.41447995        0.10561723        1.21144689        0.08525423        0.01069595        0.00146565
       -4.02696420        3.21183432        0.26513907        2.77891248        0.14437894        0.02019617        0.00320766
       -4.01695419        1.51417268        0.08602292        1.36249641        0.05927765        0.00529547        0.00108023
       -4.00694418        1.27510789        0.09134318        1.12581622        0.05164231        0.00532960        0.00097657
       -3.99693417        1.01034447        0.08728397        0.87420977        0.04271467        0.00549917        0.00063690
       -3.98692416        2.08623366        0.19391790        1.79852195        0.08178303        0.01064284        0.00136793
       -3.97691415        1.03484800        0.08211829        0.90117880        0.04488404        0.00572779        0.00093907
       -3.96690414        1.06994602        0.07341712        0.92957204        0.05839623        0.00746015        0.00110048
       -3.95689413        1.23011000        0.09313249        1.05946112        0.06712242        0.00923063        0.00116335
       -3.94688412        1.41489200        0.12218893        1.21476532        0.06791587        0.00913956        0.00088233
       -3.93687411        1.20348012        0.11271198        1.02850037        0.05434211        0.00736144        0.00056422
       -3.92686410        0.55372061        0.04591388        0.47056793        0.03273460        0.00406609        0.00043811
       -3.91685409        0.50707104        0.04142321        0.43259849        0.02896160        0.00367924        0.00040850
       -3.90684408        0.76751496        0.06544569        0.65545633        0.04009759        0.00583717        0.00067817
       -3.89683407        0.58037645        0.04341016        0.49877261        0.03247276        0.00498166        0.00073926
       -3.88682406        0.79545612        0.06027553        0.68631184        0.04153905        0.00632804        0.00100166
       -3.87681405        0.78225412        0.05630991        0.68102425        0.03805604        0.00581688        0.00104703
       -3.86680404        0.57635244        0.03380336        0.50925327        0.02792161        0.00442353        0.00095068
       -3.85679403        0.40668735        0.02099176        0.36381125        0.01819719        0.00299555        0.00069161
       -3.84678402        0.46883466        0.02470451        0.42071371        0.01970269        0.00303686        0.00067689
       -3.83677401        0.60322033        0.02861311        0.54748162        0.02287069        0.00342149        0.00083342
       -3.82676400        0.58865487        0.02193413        0.54392135        0.01914196        0.00284320        0.00081422
       -3.81675399        0.65888612        0.01865775        0.61360763        0.02219138        0.00336477        0.00106459
       -3.80674398        0.22501441        0.00960958        0.20649745        0.00753905        0.00114077        0.00022756
       -3.79673397        0.23520579        0.00840534        0.21594725        0.00915628        0.00141253        0.00028439
       -3.78672396        0.22616625        0.00739007        0.20604566        0.01076282        0.00164263        0.00032507
       -3.77671395        0.41357117        0.01283804        0.38144606        0.01618534        0.00257714        0.00052459
       -3.76670394        0.68296805        0.03542401        0.61613520        0.02647906        0.00429089        0.00063890
       -3.75669393        0.61546169        0.03696287        0.54578345        0.02761225        0.00450230        0.00060081
       -3.74668392        0.42578279        0.02072944        0.37664975        0.02393465        0.00385278        0.00061618
       -3.73667391        0.39523215        0.01895475        0.34670701        0.02488668        0.00402943        0.00065427
       -3.72666390        0.29459149        0.01613782        0.25560863        0.01914354        0.00321160        0.00048991
       -3.71665389        0.39742488        0.02097885        0.35143932        0.02106630        0.00344357        0.00049684
       -3.70664388        0.64713991        0.02131375        0.59386262        0.02570890        0.00526334        0.00099130
       -3.69663387        0.44252216        0.01678088        0.39829242        0.02245359        0.00423238        0.00076289
       -3.68662386        0.39508449        0.01048494        0.37039050        0.01113805        0.00251430        0.00055670
       -3.67661385        0.35924642        0.01289409        0.33273316        0.01074957        0.00237332        0.00049628
       -3.66660384        0.42286044        0.01560417        0.39072881        0.01306268        0.00286185        0.00060293
       -3.65659383        0.50372402        0.01817631        0.46417858        0.01707224        0.00355086        0.00074602
       -3.64658382        1.29456931        0.03688723        1.19974420        0.04682779        0.00890647        0.00220360
