#  aims_uuid : 233591B3-A35E-40A5-A1CC-C5F057FAE564                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.39263623        0.06912879        0.06927102        0.24851031        0.00572612
       -9.99000000        0.37991974        0.06828332        0.06148463        0.24468716        0.00546463
       -9.98000000        0.36058585        0.06380681        0.05339016        0.23827128        0.00511759
       -9.97000000        0.34494610        0.05749829        0.04649927        0.23605492        0.00489362
       -9.96000000        0.48717928        0.09131925        0.05255959        0.33632761        0.00697283
       -9.95000000        0.42966749        0.06708571        0.04290588        0.31388769        0.00578821
       -9.94000000        0.47359940        0.07546289        0.04129509        0.35021231        0.00662910
       -9.93000000        0.40093670        0.06198894        0.03473079        0.29814333        0.00607364
       -9.92000000        0.37359178        0.05340601        0.03281082        0.28128483        0.00609012
       -9.91000000        0.36720562        0.04515540        0.03303278        0.28241867        0.00659877
       -9.90000000        0.36106165        0.03578466        0.03388976        0.28407272        0.00731451
       -9.89000000        0.35761920        0.02625758        0.03537759        0.28777121        0.00821282
       -9.88000000        0.18543004        0.01456478        0.01733694        0.14923551        0.00429281
       -9.87000000        0.56049685        0.06965626        0.04245053        0.43515108        0.01323898
       -9.86000000        1.24619273        0.15507012        0.10007962        0.95899898        0.03204400
       -9.85000000        0.49673200        0.04885254        0.04242948        0.39620408        0.00924590
       -9.84000000        0.28004535        0.02371974        0.02290106        0.22871539        0.00470915
       -9.83000000        0.24561436        0.01758639        0.01840031        0.20529726        0.00433040
       -9.82000000        0.24563963        0.01609697        0.01477196        0.20980141        0.00496928
       -9.81000000        0.28882530        0.01833831        0.02082489        0.24285352        0.00680857
       -9.80000000        0.32185072        0.02040128        0.02709774        0.26611898        0.00823272
       -9.79000000        0.34416863        0.02228521        0.03318143        0.27948825        0.00921373
       -9.78000000        0.35974374        0.02423980        0.03970596        0.28595818        0.00983980
       -9.77000000        0.45610404        0.03255465        0.05674568        0.35537960        0.01142411
       -9.76000000        0.37871484        0.02212180        0.04782584        0.29906581        0.00970139
       -9.75000000        0.38619460        0.01835046        0.05345353        0.30502423        0.00936638
       -9.74000000        0.46064166        0.01803727        0.06407992        0.36804371        0.01048076
       -9.73000000        0.66431986        0.02309475        0.08847881        0.53887417        0.01387212
       -9.72000000        0.58054335        0.01431635        0.07766528        0.47684742        0.01171429
       -9.71000000        0.57181449        0.01647165        0.07150703        0.47261151        0.01122430
       -9.70000000        0.65472496        0.02651737        0.07794294        0.53721550        0.01304913
       -9.69000000        0.68913172        0.02196037        0.06762883        0.58506802        0.01447450
       -9.68000000        0.71624758        0.01392627        0.07932781        0.60542588        0.01756762
       -9.67000000        0.70834526        0.01154571        0.07667639        0.59849324        0.02162991
       -9.66000000        0.59555952        0.00853416        0.06000333        0.51264918        0.01437285
       -9.65000000        0.51211628        0.00624807        0.06159607        0.43583043        0.00844171
       -9.64000000        0.77764747        0.01127401        0.09545122        0.65891026        0.01201199
       -9.63000000        0.66286214        0.01466352        0.07411114        0.56524869        0.00883878
       -9.62000000        0.61643124        0.01017740        0.08386914        0.51506141        0.00732330
       -9.61000000        0.60152075        0.01260609        0.09330756        0.48856267        0.00704444
       -9.60000000        1.21039595        0.02112530        0.20202826        0.97251081        0.01473159
       -9.59000000        0.65315946        0.01199490        0.12004159        0.51395076        0.00717221
       -9.58000000        0.92661982        0.01127967        0.14177287        0.76415401        0.00941328
       -9.57000000        1.04308950        0.02679745        0.14308983        0.86071783        0.01248439
       -9.56000000        0.50349839        0.00697399        0.08900455        0.40196683        0.00555302
