#  aims_uuid : 3BD681A5-D2BB-4132-AE47-99128526B8D8                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.077775 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.92222498        1.24580029        0.09566311        1.09485661        0.04839166        0.00618005        0.00070887
       -4.91221497        1.92106474        0.16708618        1.65983898        0.08378638        0.00987352        0.00047967
       -4.90220496        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.89219495        2.13289324        0.21303234        1.83616217        0.07500285        0.00844189        0.00025400
       -4.88218494        2.74856143        0.27518729        2.36703387        0.09518952        0.01081854        0.00033221
       -4.87217493        1.13223597        0.10633310        0.97747156        0.04329127        0.00486869        0.00027136
       -4.86216492        0.55060152        0.03863031        0.47583263        0.03269530        0.00312248        0.00032080
       -4.85215491        0.51526478        0.02957778        0.45747677        0.02531246        0.00248048        0.00041728
       -4.84214490        0.97735357        0.06033704        0.85991390        0.05207423        0.00450389        0.00052451
       -4.83213489        2.43349640        0.17083172        2.16675652        0.08622753        0.00841878        0.00126185
       -4.82212488        2.11258223        0.13067561        1.87937784        0.09135073        0.00924309        0.00193496
       -4.81211487        0.24859548        0.01151046        0.21646664        0.01899434        0.00145820        0.00016584
       -4.80210486        2.78676728        0.21522050        2.41434929        0.14381182        0.01244432        0.00094135
       -4.79209485        1.24022481        0.09776321        1.06748801        0.06750181        0.00680539        0.00066640
       -4.78208484        1.54900139        0.10039460        1.34575004        0.09153918        0.00995164        0.00136593
       -4.77207483        2.04346047        0.09810379        1.76719162        0.16300699        0.01347050        0.00168757
       -4.76206482        1.36757433        0.07386786        1.16639787        0.11308954        0.01243663        0.00178244
       -4.75205481        1.30243369        0.06652077        1.11304841        0.11182889        0.01007802        0.00095760
       -4.74204480        1.21663023        0.05967067        1.05080014        0.09480419        0.01035828        0.00099694
       -4.73203479        1.07821188        0.05803339        0.92076481        0.08734601        0.01103652        0.00103114
       -4.72202478        0.80428706        0.05996196        0.67088370        0.06342005        0.00915734        0.00086401
       -4.71201477        1.09266057        0.09145869        0.93074818        0.06099698        0.00835302        0.00110368
       -4.70200476        1.54696484        0.08846882        1.35199400        0.09218883        0.01251687        0.00179632
       -4.69199475        4.82592192        0.27676489        4.22822791        0.28317631        0.03340417        0.00434864
       -4.68198474        2.47282072        0.33224426        2.06124521        0.06595492        0.01221408        0.00116224
       -4.67197473        0.36182642        0.04355881        0.30658479        0.00988218        0.00159548        0.00020516
       -4.66196472        0.28614557        0.03807751        0.24086136        0.00590765        0.00117834        0.00012071
       -4.65195471        1.30048759        0.12303427        1.11894847        0.04805922        0.00901453        0.00143111
       -4.64194470        1.25301730        0.09178596        1.06865375        0.07812093        0.01271165        0.00174502
       -4.63193469        0.50047938        0.03237362        0.42404424        0.03808504        0.00531187        0.00066461
       -4.62192468        1.89456110        0.13635626        1.64055097        0.10263437        0.01313356        0.00188594
       -4.61191467        7.57493497        0.47418197        6.68365792        0.36667481        0.04480147        0.00561879
       -4.60190466        1.26694084        0.10608142        1.08805559        0.06425452        0.00777437        0.00077494
       -4.59189465        0.34615954        0.02958171        0.29275798        0.02128919        0.00233326        0.00019740
       -4.58188464        0.36701353        0.01552931        0.32446831        0.02337235        0.00323827        0.00040528
       -4.57187463        1.15825596        0.04666508        1.02148386        0.07688810        0.01182946        0.00138946
       -4.56186462        0.14807511        0.00635057        0.13269939        0.00787130        0.00103114        0.00012272
       -4.55185461        0.11202501        0.00273887        0.10136141        0.00665378        0.00087313        0.00039781
       -4.54184460        0.18553621        0.00487708        0.16741726        0.01101613        0.00163726        0.00058848
       -4.53183459        0.44473932        0.02602220        0.39039582        0.02366606        0.00386821        0.00078703
       -4.52182458        1.17939642        0.09227867        1.01843756        0.05794117        0.00956059        0.00117843
       -4.51181457        1.20758620        0.08583903        1.04568961        0.06436224        0.01025825        0.00143707
       -4.50180456        0.77988352        0.05378497        0.68102956        0.03811719        0.00613579        0.00081601
       -4.49179455        0.46601030        0.03230938        0.40818815        0.02151367        0.00355952        0.00043959
       -4.48178454        0.19778594        0.01681864        0.17146890        0.00809801        0.00129236        0.00010804
       -4.47177453        0.08811337        0.00719234        0.07600413        0.00413542        0.00071925        0.00006224
       -4.46176452        0.17239972        0.01200515        0.15101980        0.00716537        0.00201218        0.00019722
       -4.45175451        0.41623799        0.01839715        0.37744829        0.01567914        0.00395832        0.00075509
       -4.44174450        0.59796648        0.01269402        0.56052832        0.01970335        0.00379813        0.00124266
       -4.43173449        0.64649799        0.00897849        0.61649349        0.01713146        0.00272210        0.00117244
       -4.42172448        0.72041951        0.02264943        0.67585003        0.01792163        0.00296849        0.00102994
       -4.41171447        0.23866203        0.01944130        0.20804446        0.00890143        0.00201337        0.00026147
       -4.40170446        0.28484066        0.02057478        0.24931789        0.01200157        0.00257350        0.00037291
       -4.39169445        0.33033449        0.02117139        0.28969244        0.01575801        0.00321123        0.00050142
       -4.38168444        1.01209221        0.06859745        0.87239116        0.05991038        0.01004161        0.00115160
       -4.37167443        0.38846374        0.02202420        0.33770951        0.02390761        0.00419584        0.00062658
       -4.36166442        0.24129788        0.01158321        0.21402160        0.01318845        0.00218509        0.00031954
       -4.35165441        0.27962856        0.01117242        0.25205740        0.01377645        0.00226605        0.00035625
       -4.34164440        0.31905292        0.01050633        0.29177191        0.01404015        0.00233414        0.00040040
       -4.33163439        0.38234646        0.01015708        0.35485258        0.01433911        0.00251450        0.00048318
       -4.32162438        0.44891807        0.00948698        0.42182306        0.01436687        0.00266576        0.00057540
       -4.31161437        0.51889709        0.00850460        0.49279607        0.01412976        0.00278951        0.00067715
       -4.30160436        0.49313518        0.00876245        0.46815503        0.01322517        0.00238513        0.00060740
       -4.29159435        0.55405349        0.00880755        0.52853189        0.01354355        0.00248183        0.00068867
       -4.28158434        0.54894761        0.00882224        0.52407778        0.01319603        0.00218454        0.00066701
       -4.27157433        0.59785748        0.00891342        0.57224913        0.01377345        0.00218399        0.00073749
       -4.26156432        0.64815959        0.00898424        0.62167375        0.01451777        0.00216901        0.00081482
       -4.25155431        1.16113901        0.01149269        1.12003861        0.02563771        0.00279552        0.00117449
       -4.24154430        0.84540516        0.01046445        0.81164976        0.02003380        0.00228556        0.00097159
       -4.23153429        0.69730486        0.01307537        0.65947530        0.02093659        0.00277747        0.00104012
       -4.22152428        1.20311091        0.02430089        1.13533152        0.03666654        0.00467108        0.00214089
       -4.21151427        0.88135893        0.01848486        0.82074119        0.03586565        0.00422246        0.00204477
       -4.20150426        0.96600981        0.00929310        0.92753819        0.02547565        0.00238718        0.00131569
       -4.19149425        0.38802577        0.00154243        0.37557457        0.00985666        0.00052912        0.00052300
       -4.18148424        1.00866517        0.00709857        0.96661598        0.03075368        0.00241493        0.00178201
       -4.17147423        0.87485235        0.01074540        0.83616213        0.02422695        0.00232988        0.00138799
       -4.16146422        0.70024918        0.00991046        0.66700416        0.01976836        0.00265154        0.00091466
       -4.15145421        1.97686727        0.06240019        1.85272121        0.05045614        0.00861972        0.00267001
       -4.14144420        1.06815577        0.02458662        1.00406721        0.03192021        0.00630099        0.00128074
       -4.13143419        1.81194654        0.03527648        1.70705615        0.05735759        0.00961909        0.00263722
       -4.12142418        1.81645666        0.03004953        1.70963155        0.06340982        0.01071719        0.00264857
       -4.11141417        3.74146211        0.06911138        3.54498185        0.10551885        0.01650223        0.00534780
       -4.10140416        2.09858695        0.04329873        1.96602444        0.07408513        0.01196471        0.00321394
       -4.09139415        1.16648929        0.02655017        1.07458866        0.05584266        0.00771245        0.00179535
       -4.08138414        2.04736696        0.03908493        1.88678215        0.10454675        0.01428287        0.00267026
       -4.07137413        1.42813591        0.03224963        1.32659841        0.05875217        0.00838405        0.00215164
       -4.06136412        1.65410528        0.03125166        1.54994430        0.06203637        0.00813257        0.00274037
       -4.05135411        1.92648561        0.03288713        1.79290197        0.08564644        0.01162079        0.00342928
       -4.04134410        2.13424116        0.04391307        2.00624217        0.07050922        0.01001185        0.00356484
       -4.03133409        2.11390488        0.04171441        1.97776662        0.07203034        0.01801105        0.00438247
       -4.02132408        1.32576454        0.02578720        1.24469838        0.04028663        0.01198132        0.00301101
       -4.01131407        1.34435644        0.03165362        1.23824276        0.05958658        0.01223601        0.00263747
       -4.00130406        0.93621193        0.02582478        0.85998587        0.03967687        0.00884011        0.00188428
       -3.99129405        0.69066798        0.02088608        0.62928622        0.03172862        0.00728414        0.00148291
       -3.98128404        0.89671473        0.01561041        0.82694586        0.04142579        0.01082274        0.00190994
       -3.97127403        0.20571956        0.00316461        0.18832376        0.01122872        0.00254887        0.00045360
       -3.96126402        0.38694124        0.00894370        0.35717926        0.01660453        0.00344400        0.00076975
       -3.95125401        0.82125512        0.01925677        0.75794965        0.03606753        0.00644903        0.00153215
       -3.94124400        0.94865231        0.02869513        0.86321401        0.04694631        0.00779318        0.00200367
       -3.93123399        0.89686763        0.01724071        0.82670291        0.04280464        0.00829189        0.00182749
       -3.92122398        0.83143224        0.01179156        0.75772666        0.05073147        0.00938460        0.00179795
       -3.91121397        1.46818734        0.02124325        1.35971133        0.06200483        0.02177075        0.00345718
       -3.90120396        1.91210869        0.03098410        1.79285110        0.07215687        0.01363135        0.00248526
       -3.89119395        0.62818910        0.00928327        0.58709883        0.02568125        0.00519877        0.00092698
       -3.88118394        0.62740030        0.00863497        0.58825207        0.02395696        0.00560735        0.00094895
       -3.87117393        0.64568081        0.00820802        0.60840224        0.02236946        0.00572313        0.00097796
       -3.86116392        1.28465995        0.01259816        1.21089033        0.04576297        0.01298631        0.00242218
       -3.85115391        0.68804087        0.00823044        0.64916677        0.02314909        0.00630539        0.00118918
       -3.84114390        1.21651670        0.01407432        1.16086070        0.03105850        0.00852940        0.00199379
