#  aims_uuid : C172C93E-4C3D-43AA-AE05-974A6146784F                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.348310 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.65169007        0.33585499        0.02632808        0.29350605        0.01391505        0.00197683        0.00012898
       -4.64169007        1.91032137        0.11957774        1.67935436        0.09956129        0.01103268        0.00079529
       -4.63169007        2.06637747        0.14952812        1.81801181        0.08532822        0.01211455        0.00139477
       -4.62169007        0.65832550        0.03028899        0.59417976        0.03028728        0.00308388        0.00048560
       -4.61169007        1.62861854        0.08701391        1.43745330        0.09532605        0.00802641        0.00079887
       -4.60169007        1.32283176        0.11809019        1.12229136        0.07323181        0.00883055        0.00038784
       -4.59169007        2.22772522        0.12274727        2.01009373        0.08518184        0.00798492        0.00171746
       -4.58169007        0.92567624        0.03143041        0.83332625        0.05507315        0.00509247        0.00075396
       -4.57169007        1.36082011        0.08032809        1.22167717        0.05244551        0.00536831        0.00100103
       -4.56169007        1.33760590        0.06777160        1.19208178        0.07163090        0.00546099        0.00066063
       -4.55169007        0.62909837        0.05295828        0.54464824        0.02781940        0.00348636        0.00018609
       -4.54169007        2.68213239        0.22945512        2.30126488        0.13493031        0.01542383        0.00105824
       -4.53169007        1.32115524        0.07005034        1.17244947        0.07012256        0.00778558        0.00074728
       -4.52169007        1.29941985        0.10014639        1.11427752        0.07523564        0.00901490        0.00074540
       -4.51169007        3.23995901        0.18047378        2.83774733        0.19643099        0.02307976        0.00222715
       -4.50169007        1.74246551        0.13842113        1.49538023        0.09411503        0.01330987        0.00123926
       -4.49169007        1.41627656        0.11309744        1.21601715        0.07554235        0.01062594        0.00099368
       -4.48169007        2.00928626        0.17596736        1.69199871        0.12370346        0.01591699        0.00169974
       -4.47169007        0.51939805        0.03077067        0.44635572        0.03797086        0.00382275        0.00047806
       -4.46169007        1.79306136        0.13066851        1.54901664        0.10115765        0.01069287        0.00152569
       -4.45169007        4.65756191        0.38205285        4.08490893        0.16734093        0.01985990        0.00339930
       -4.44169007        0.01417780        0.00142102        0.00866732        0.00351334        0.00053502        0.00004110
       -4.43169007        1.60077545        0.10313597        1.37593230        0.10783625        0.01207575        0.00179517
       -4.42169007        1.99496610        0.18553156        1.71209415        0.08580657        0.01021379        0.00132003
       -4.41169007        1.73581190        0.16847820        1.48614274        0.06994967        0.00981928        0.00142200
       -4.40169007        1.72331235        0.11087759        1.53257963        0.06873869        0.00988280        0.00123363
       -4.39169007        1.76352014        0.10854613        1.57573021        0.07012888        0.00808646        0.00102846
       -4.38169007        1.06621440        0.06542238        0.94802716        0.04535479        0.00638841        0.00102165
       -4.37169007        0.73085360        0.04917482        0.64102286        0.03503331        0.00488153        0.00074108
       -4.36169007        1.45447547        0.16921385        1.21895554        0.05620555        0.00943377        0.00066677
       -4.35169007        1.51486195        0.17282810        1.26626377        0.06412680        0.01069251        0.00095077
       -4.34169007        1.26946121        0.11075982        1.10338412        0.04790611        0.00655353        0.00085764
       -4.33169007        1.35018129        0.10768326        1.19381238        0.04265523        0.00515826        0.00087216
       -4.32169007        2.38537227        0.17665112        2.09734884        0.09741914        0.01249454        0.00145864
       -4.31169007        1.07684616        0.06368428        0.94306941        0.05975778        0.00907605        0.00125865
       -4.30169007        0.07671437        0.00165928        0.06820080        0.00555656        0.00111644        0.00018130
       -4.29169007        1.11942187        0.08725524        0.98451931        0.04122077        0.00523739        0.00118915
       -4.28169007        0.87258574        0.08062760        0.75428017        0.03300829        0.00394184        0.00072784
       -4.27169007        0.46723541        0.05039193        0.39825908        0.01632926        0.00192851        0.00032663
       -4.26169007        0.21117706        0.02049165        0.18072300        0.00870963        0.00106766        0.00018511
       -4.25169007        0.14628041        0.01322410        0.12569460        0.00642357        0.00080141        0.00013672
       -4.24169007        0.09154091        0.00753671        0.07927308        0.00411781        0.00053089        0.00008242
       -4.23169007        0.79075618        0.05557036        0.70763201        0.02417906        0.00282013        0.00055461
       -4.22169007        1.18002423        0.05770333        1.07854805        0.03814244        0.00455451        0.00107590
       -4.21169007        1.69695078        0.05891065        1.56322179        0.06504056        0.00785725        0.00192053
